Longitude,Latitude
-73.5,-4.166667
-73.282456,-3.75626
-73.253731,-2.018731
-76.15,-9.083333
-76.773397,-6.272834
-78.63,-4.15
-77.733333,-4.033333
-77.7,-3.91666
-78.43055,-3.91111
-77.66666,-3.83333
-73.56666,-2.91666
-77.916667,-2.766667
-78.2,-2.67
-77.9,-2.53333
-76.166667,-2.516667
-77.5,-2.38
-77.33,-1.42
-77.83,-1.25
-76.92,-1.25
-77.86666,-1.18333
-77.03,-0.58
-76.17,0.9
-76.636917,3.365217
-76.0356,5.7986
-74.27083,5.59861
-75.63333,6.08333
-75.1106,6.8631
-76.0378,5.77
-74.83,6
-75.1658,7.0047
-75.0094,7.0583
-75.1603,7.0108
-75.5,7.17
-75.1106,6.8631
-78.359444,-5.244444
-75.26611,-10.33194
-74.8,-9.467
-75.43,-9.08
-77.639273,-4.434615
-78.37,-5.27
-76.7,1.166667
-75.58408,1.6306
-79.03,-0.95
-78.43,-0.33
-78.8028,-0.2314
-78.61666,-0.05
-78.43,0.33
-78.083333,0.833333
-78,0.85
-81.783333,8.55
-83.782833,9.755611
-83.979167,9.777778
-84.0336,9.9819
-75.37,-11.57
-75.42638,-10.66527
-75.35305,-10.63055
-75.287778,-10.619722
-75.35833,-10.54527
-77.67,-6.25
-77.66666,-6.16666
-77.96305,-5.83638
-77.833333,-5.833333
-77.883333,-5.75
-77.37,-5.67
-78.848611,-4.591111
-79.13638,-4.48888
-79.18333,-4.38333
-79.145278,-3.9875
-79.05,-3.98
-79.15,-3.92
-78.480278,-3.898333
-78.416667,-2.966667
-78.68888,-2.78222
-78.38333,-2.65
-78.25111,-2.20666
-78.49944,-2.18472
-78.18,-1
-77.68666,-0.67555
-77.87,-0.57
-77.83,-0.48
-77.9,-0.466667
-78.76083,-0.45222
-77.96666,-0.43333
-77.78,-0.43
-78.916667,-0.333333
-77.833333,-0.333333
-78.85,-0.3
-77.65,-0.2
-77.6,-0.1
-78.6783,0.0047
-78.68,0.07
-77.55,0.45
-78.683333,0.666667
-78.220556,0.828611
-78.03,0.85
-76.85064,1.14286
-77.96666,1.16666
-76.60219,3.54158
-73.93,3.98
-75.961611,4.189777
-76.25,4.75
-75.93333,5.38333
-75.0548,5.522467
-75.27,5.62
-75.27388,5.69194
-76.13333,5.86666
-75.79722,6.06555
-75.6,6.08333
-75.45,6.08333
-75.133333,6.166667
-75.58583,6.17194
-75.33916,6.17666
-75.483333,6.3
-75.33,6.42
-76.2523,6.51919
-75.94027,6.65277
-75.23111,6.79111
-75.09388,6.81333
-75.02,6.9
-75.083333,6.916667
-75.32,7.05
-72.43,7.63
-72.07,7.97
-77.97,1.17
-78.27,-1.1
